Тип предприятия,Код предприятия,Количество хостов,Код реализованной угрозы,Успех,Регион размещения предприятия,Дата инцидента,Региональное время
автобизнес,9335,716,187,0,Хабаровский край,02.10.2025,02.10.2025 23:45
энергетика,6493,640,170,1,Республика Башкортостан,15.09.2024,15.09.2024 15:14
фармацевтика,8323,1033,37,1,Калининградская область,19.04.2023,20.04.2023 00:48
системная интеграция,9625,445,199,0,Сахалинская область,11.05.2023,12.05.2023 03:26
розничная торговля,3189,709,154,0,Орловская область,02.03.2023,02.03.2023 23:59
логистика,1958,879,23,0,Республика Ингушетия,04.03.2025,04.03.2025 16:24
логистика,2270,1935,88,0,Вологодская область,29.09.2024,29.09.2024 14:11
реклама,4129,1223,24,0,Республика Мордовия,02.04.2025,02.04.2025 09:14
системная интеграция,1337,895,116,0,Республика Алтай,11.06.2024,11.06.2024 07:56
образование,0998,1340,16,1,Вологодская область,12.12.2023,12.12.2023 03:33
металлургия,0077,869,99,1,Московская область,06.02.2025,06.02.2025 05:11
ресторанный бизнес,8163,572,138,0,Волгоградская область,18.07.2023,19.07.2023 00:58
энергетика,9826,966,147,0,Ханты-Мансийский автономный округ - Югра,30.12.2023,30.12.2023 21:09
консалтинг,0498,1474,10,0,Республика Башкортостан,19.08.2024,19.08.2024 08:22
розничная торговля,9669,1261,43,0,Томская область,31.01.2024,01.02.2024 02:09
образование,5528,1131,169,1,Тюменская область,27.08.2023,28.08.2023 02:35
добыча,5544,704,94,0,Тульская область,02.10.2025,02.10.2025 09:50
маркетинг,0682,933,16,1,Донецкая Народная Республика,22.07.2023,22.07.2023 19:05
НКО,5252,1279,145,1,Красноярский край,16.02.2024,16.02.2024 16:20
энергетика,7339,1763,51,1,Камчатский край,23.05.2025,24.05.2025 00:27
маркетинг,1350,1204,7,1,Псковская область,20.10.2024,20.10.2024 20:30
образование,6371,826,128,1,Херсонская область,23.04.2023,23.04.2023 19:53
машиностроение,3082,382,79,0,Республика Крым,04.10.2024,05.10.2024 02:03
медицина,0459,296,78,1,Курская область,21.12.2024,21.12.2024 20:03
реклама,8330,1273,218,0,Кемеровская область,29.01.2025,30.01.2025 04:44
машиностроение,3515,402,118,0,Воронежская область,17.10.2024,17.10.2024 05:45
ресторанный бизнес,8115,623,147,0,Республика Карелия,20.02.2025,20.02.2025 09:57
химия,4759,209,62,1,Калужская область,09.03.2025,09.03.2025 10:23
маркетинг,0734,519,37,0,Магаданская область,12.06.2024,13.06.2024 00:43
фармацевтика,5075,619,225,1,Чеченская республика,21.01.2023,21.01.2023 16:52
реклама,6179,769,216,0,Омская область,03.06.2024,04.06.2024 01:00
НКО,6480,285,179,1,Ярославская область,01.04.2024,01.04.2024 05:40
химия,1889,525,203,1,Ленинградская область,11.01.2024,11.01.2024 20:20
розничная торговля,4203,1594,184,1,Республика Татарстан,09.08.2024,09.08.2024 12:54
фармацевтика,4285,422,195,0,Республика Северная Осетия-Алания,18.02.2024,18.02.2024 05:35
логистика,3290,460,133,0,Курганская область,07.09.2025,07.09.2025 08:07
отели,0624,1906,100,0,Ненецкий автономный округ,19.05.2023,19.05.2023 10:27
образование,6077,1097,190,0,Ханты-Мансийский автономный округ - Югра,26.03.2023,27.03.2023 02:59
безопасность,3097,1773,54,1,Республика Карелия,30.01.2023,30.01.2023 07:21
автобизнес,2876,917,119,0,Республика Крым,26.04.2023,26.04.2023 15:24
энергетика,4781,1235,17,0,Орловская область,03.02.2024,03.02.2024 13:42
консалтинг,0415,1984,113,0,Республика Марий,18.12.2025,18.12.2025 12:35
розничная торговля,2349,1320,82,0,Новгородская область,14.05.2023,14.05.2023 16:33
медицина,0287,1466,185,0,Ульяновская область,28.01.2025,28.01.2025 04:09
химия,3829,212,98,0,Забайкальский край,30.04.2023,30.04.2023 21:49
фармацевтика,1961,1955,58,0,Забайкальский край,01.06.2023,01.06.2023 09:41
логистика,9364,1520,99,1,Херсонская область,03.03.2025,03.03.2025 17:58
отели,8038,1454,65,1,Чукотский автономный округ,20.07.2025,21.07.2025 03:58
энергетика,7442,1298,226,1,Воронежская область,23.10.2023,23.10.2023 12:40
розничная торговля,6365,726,226,0,Ростовская область,12.02.2023,12.02.2023 16:51
информационные технологии,2360,287,118,1,Красноярский край,09.04.2024,09.04.2024 19:08
НКО,5783,626,104,1,Республика Дагестан,01.08.2025,02.08.2025 02:28
консалтинг,6365,1149,94,1,Ульяновская область,27.03.2025,27.03.2025 07:46
безопасность,3374,703,56,0,Забайкальский край,03.02.2024,04.02.2024 08:42
образование,5955,1148,141,1,Ростовская область,20.09.2024,20.09.2024 09:25
энергетика,7705,422,139,1,Пермский край,24.04.2025,24.04.2025 06:12
ресторанный бизнес,5533,1329,41,1,Алтайский край,03.06.2025,03.06.2025 12:28
металлургия,3383,990,146,0,Нижегородская область,16.11.2023,16.11.2023 23:25
фармацевтика,3241,508,106,1,Челябинская область,18.05.2024,19.05.2024 04:08
логистика,5181,1450,196,0,Запорожская область,18.07.2023,18.07.2023 05:05
металлургия,0143,1965,223,0,Самарская область,04.07.2023,04.07.2023 13:59
системная интеграция,3327,1722,39,0,Республика Башкортостан,16.05.2023,16.05.2023 16:39
телекоммуникации,9560,1896,115,1,Саратовская область,25.12.2023,25.12.2023 12:19
химия,9206,527,226,0,Смоленская область,30.04.2025,30.04.2025 06:34
образование,6713,524,144,1,Кировская область,25.05.2024,25.05.2024 06:42
энергетика,7290,398,194,0,Ивановская область,19.02.2025,19.02.2025 18:24
логистика,2793,1771,6,1,Ханты-Мансийский автономный округ - Югра,08.01.2024,08.01.2024 19:57
металлургия,8058,1575,146,1,Саратовская область,24.06.2023,24.06.2023 14:04
розничная торговля,2211,1478,77,1,Костромская область,16.08.2023,17.08.2023 00:12
НКО,5255,798,183,0,Астраханская область,10.10.2025,10.10.2025 03:39
фармацевтика,6845,546,94,1,Курская область,17.11.2025,17.11.2025 11:33
металлургия,8022,852,43,0,Севастополь,04.05.2024,05.05.2024 01:19
автобизнес,7356,1086,87,0,Нижегородская область,27.07.2025,28.07.2025 00:05
телекоммуникации,9033,264,34,0,Амурская область,09.02.2023,09.02.2023 18:24
ресторанный бизнес,7703,978,100,0,Запорожская область,07.07.2024,08.07.2024 01:24
телекоммуникации,6010,1844,132,1,Чеченская республика,01.12.2024,01.12.2024 07:22
автобизнес,9051,595,126,1,Нижегородская область,20.06.2023,20.06.2023 17:58
добыча,5221,1964,131,0,Москва,21.09.2023,21.09.2023 06:15
добыча,2902,964,17,0,Амурская область,30.04.2024,30.04.2024 11:55
добыча,0159,1680,4,1,Магаданская область,25.05.2023,25.05.2023 15:37
НКО,7550,1492,224,1,Луганская Народная Республика,05.08.2023,05.08.2023 22:07
машиностроение,2273,608,191,0,Орловская область,07.07.2023,08.07.2023 01:05
металлургия,7094,1821,176,0,Липецкая область,13.04.2023,14.04.2023 01:05
маркетинг,5250,1480,136,0,Курганская область,09.02.2024,10.02.2024 03:31
образование,3049,1160,74,0,Ханты-Мансийский автономный округ - Югра,14.01.2024,14.01.2024 21:00
добыча,2882,604,68,0,Красноярский край,23.01.2024,24.01.2024 05:07
